theater_area-10000411,普通关卡
theater_area-30000411,这是优势人形技能描述
theater_area-20000411,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000412,普通关卡
theater_area-30000412,这是优势人形技能描述
theater_area-20000412,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000413,普通关卡
theater_area-30000413,这是优势人形技能描述
theater_area-20000413,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000414,要塞关卡
theater_area-30000414,这是优势人形技能描述
theater_area-20000414,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000415,普通关卡
theater_area-30000415,这是优势人形技能描述
theater_area-20000415,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000416,普通关卡
theater_area-30000416,这是优势人形技能描述
theater_area-20000416,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000417,普通关卡
theater_area-30000417,这是优势人形技能描述
theater_area-20000417,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000418,要塞关卡
theater_area-30000418,这是优势人形技能描述
theater_area-20000418,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000421,普通关卡
theater_area-30000421,这是优势人形技能描述
theater_area-20000421,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000422,普通关卡
theater_area-30000422,这是优势人形技能描述
theater_area-20000422,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000423,普通关卡
theater_area-30000423,这是优势人形技能描述
theater_area-20000423,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000424,要塞关卡
theater_area-30000424,这是优势人形技能描述
theater_area-20000424,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000425,普通关卡
theater_area-30000425,这是优势人形技能描述
theater_area-20000425,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000426,普通关卡
theater_area-30000426,这是优势人形技能描述
theater_area-20000426,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000427,普通关卡
theater_area-30000427,这是优势人形技能描述
theater_area-20000427,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000428,要塞关卡
theater_area-30000428,这是优势人形技能描述
theater_area-20000428,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000431,普通关卡
theater_area-30000431,这是优势人形技能描述
theater_area-20000431,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000432,普通关卡
theater_area-30000432,这是优势人形技能描述
theater_area-20000432,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000433,要塞关卡
theater_area-30000433,这是优势人形技能描述
theater_area-20000433,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000434,普通关卡
theater_area-30000434,这是优势人形技能描述
theater_area-20000434,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000435,普通关卡
theater_area-30000435,这是优势人形技能描述
theater_area-20000435,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000436,要塞关卡
theater_area-30000436,这是优势人形技能描述
theater_area-20000436,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000437,普通关卡
theater_area-30000437,这是优势人形技能描述
theater_area-20000437,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000438,要塞关卡
theater_area-30000438,这是优势人形技能描述
